"Term","CRN","Subject","Number","Section","Title","Campus","Enrollment","Capacity","Credit Hours","Delivery","Estimated Fees","Business Surcharge","Meeting Days","Meeting Times","Meeting Locations","Meeting Dates","Instructors","Description","Cross-List Sections","Course Level","Special Approval","Grade Mode","Additional Notes","Attribute Description"
"202620","10066","CHM","572","  A","Biophysical Chemistry II","Oxford","3","12","3","Face-to-Face","None","None","MWF|W","11:40am-12:35pm|12:45pm-2:45pm","HUG 161|HUG 161","01/26-05/08|05/13-05/13","Tierney, David","472/572 Biophysical Chemistry II (3)

Fundamentals of physical biochemistry including thermodynamics, macromolecular structure, kinetics, enzyme kinetics, quantum chemistry, and biophysical spectroscopy. Note: Credit may not be received for both CHM 452 and CHM 472. Prerequisite: MTH 251 or equivalent and CHM 451 or CHM 471.","CHM 472 (10063); CHM 572 (10066)","Graduate","None","Standard Letter","None","None"
"202620","10067","CHM","600","  A","Seminar In Chemistry","Oxford","63","80","1","Face-to-Face","None","None","R","11:40am-1:00pm","HUG 161","01/26-05/08","Alumasa, John","600 Seminar in Chemistry (1; maximum 12) Required of all chemistry graduate students in residence. Prerequisite: graduate standing.","None","Graduate","None","Credit/No Credit","None","None"
"202620","16140","CHM","664","  A","Separation Science","Oxford","14","15","2","Face-to-Face","None","None","MW|M","2:50pm-3:45pm|3:00pm-5:00pm","HUG 158|HUG 158","01/26-05/08|05/11-05/11","Danielson, Neil","664 Separation Science (2)

Fundamental principles of separation science emphasizing chromatographic theory, gas and liquid chromatography, and capillary electrophoresis. Prerequisite: CHM 554 or permission of instructor.","None","Graduate","None","Standard Letter","None","None"
"202620","10068","CHM","720","  A","Seminar in Organic Chemistry","Oxford","19","20","1","Face-to-Face","None","None","M","4:25pm-5:20pm","HUG 161","01/26-05/08","Mancini, Rock","720 Seminar in Organic and Biochemistry (1; maximum 9) Discussion of recent research findings in areas of organic and biochemistry. Prerequisite: permission of instructor.","None","Graduate","None","Standard Letter","None","None"
"202620","10434","CHM","725","  A","Biological Chemistry Seminar","Oxford","22","30","1","Face-to-Face","None","None","M","4:25pm-5:20pm","HUG 141","01/26-05/08","Tai, Heeyoung","725 Biological Chemistry Seminar (1; maximum 9)

Discussion of recent research findings in biological chemistry. Prerequisite: Permission of instructor.
","None","Graduate","None","Standard Letter","None","None"
"202620","13623","CHM","740D","  A","Medicinal Chemistry","Oxford","10","15","3","Face-to-Face","None","None","TR|T","4:25pm-5:50pm|3:00pm-5:00pm","HUG 141|HUG 141","01/26-05/08|05/12-05/12","Mancini, Rock","None","None","Graduate","None","Standard Letter","None","None"
"202620","16006","CHM","740N","  A","CryoEM of Protein Complexes","Oxford","1","15","3","Face-to-Face","None","None","MWF|W","10:05am-11:00am|10:15am-12:15pm","HUG 161|HUG 161","01/26-05/08|05/13-05/13","Kennedy, Michael","None","None","Graduate","None","Standard Letter","None","None"
"202620","16008","CHM","760K","  A","Bio Magnetic Resonance","Oxford","12","15","3","Face-to-Face","None","None","MWF","8:30am-9:25am","HUG 158","01/26-05/08","Lorigan, Gary","None","None","Graduate","None","Standard Letter","None","None"
"202620","16016","CHM","760P","  A","Magnetism & Magnetic Materials","Oxford","7","15","3","Face-to-Face","None","None","MWF|W","10:05am-11:00am|10:15am-12:15pm","HUG 004|HUG 004","01/26-05/08|05/13-05/13","Tierney, David","760P Protein X-Ray Crystallography (3)","None","Graduate","None","Standard Letter","None","None"
"202620","10069","CHM","780","  A","Analytical Inorganic & Phy Chm","Oxford","20","25","1","Face-to-Face","None","None","M","4:25pm-5:20pm","HUG 100","01/26-05/08","Yehl, Kevin","780 Seminar in Analytical, Inorganic, and Physical Chemistry (1; maximum 9) Discussion of recent developments in the areas of analytical, inorganic, and physical chemistry. Prerequisite: permission of instructor.","None","Graduate","None","Standard Letter","None","None"
